frame,e_y,e_y_dot,e_phi,e_phi_dot,timestamp
102,-0.149953,0.255784,0.171740,0.201935,1620812672647396000
103,-0.174009,0.290348,0.176278,0.196524,1620812672671726784
104,-0.175347,0.328567,0.180816,0.206298,1620812672692839200
105,-0.185911,0.379833,0.185528,0.206298,1620812672705689984
106,-0.185911,0.379833,0.185528,0.206298,1620812672730562624
107,-0.217137,0.430368,0.192510,0.176104,1620812672745439040
108,-0.223203,0.485894,0.198968,0.178373,1620812672770763552
109,-0.237469,0.486145,0.201062,0.197571,1620812672786925728
110,-0.247010,0.549389,0.207694,0.189194,1620812672807234304
111,-0.256933,0.516723,0.209963,0.174184,1620812672826705280
112,-0.265234,0.543384,0.215897,0.176104,1620812672848452928
113,-0.272383,0.567019,0.217817,0.168773,1620812672867263424
114,-0.293597,0.528552,0.223751,0.170868,1620812672886614176
115,-0.291795,0.512005,0.225671,0.164585,1620812672906296736
116,-0.297418,0.479260,0.231256,0.157952,1620812672929195040
117,-0.304136,0.519403,0.233001,0.152716,1620812672949520384
118,-0.315347,0.514837,0.238412,0.162316,1620812672967154816
119,-0.319179,0.563504,0.240157,0.154985,1620812672985485984
120,-0.326984,0.558885,0.245393,0.147480,1620812673005431296
121,-0.336236,0.575847,0.247837,0.144339,1620812673032064416
122,-0.343494,0.591977,0.253596,0.154811,1620812673045430400
123,-0.349611,0.587703,0.255342,0.151844,1620812673068996800
124,-0.356146,0.640036,0.261101,0.146084,1620812673085492224
125,-0.362357,0.636657,0.265988,0.143990,1620812673108434432
126,-0.370996,0.613503,0.270701,0.145037,1620812673130297568
127,-0.376804,0.586162,0.275238,0.142942,1620812673149882848
128,-0.376224,0.566035,0.279776,0.139626,1620812673169900800
129,-0.373070,0.572863,0.283965,0.131249,1620812673185450816
130,-0.383876,0.596301,0.286059,0.130376,1620812673205642176
131,-0.418350,0.565782,0.292168,0.129678,1620812673228995808
132,-0.420463,0.569050,0.294263,0.125664,1620812673246651360
133,-0.431029,0.521269,0.300197,0.119381,1620812673267179424
134,-0.427646,0.524836,0.302116,0.119381,1620812673287128320
135,-0.468629,0.562451,0.320617,0.134565,1620812673305592768
136,-0.465270,0.532847,0.322537,0.136659,1620812673328694720
137,-0.471995,0.552430,0.327598,0.128107,1620812673348215680
138,-0.468468,0.524878,0.329169,0.126885,1620812673368248448
139,-0.510388,0.528341,0.337372,0.114145,1620812673386824064
140,-0.506883,0.503174,0.338943,0.113970,1620812673407424768
141,-0.521644,0.538834,0.343306,0.110828,1620812673426626464
142,-0.526485,0.526749,0.344703,0.109607,1620812673449221920
143,-0.557002,0.570077,0.360061,0.112923,1620812673473774432
144,-0.561829,0.567991,0.361283,0.112748,1620812673488388416
145,-0.562913,0.607394,0.363727,0.110654,1620812673505152448
146,-0.563873,0.588921,0.366345,0.111701,1620812673526647456
147,-0.598690,0.619702,0.378562,0.097738,1620812673548999328
148,-0.599643,0.634357,0.381005,0.099833,1620812673572226176
149,-0.601230,0.639070,0.384496,0.096168,1620812673590566368
150,-0.640460,0.650605,0.384496,0.092677,1620812673606212736
151,-0.645066,0.655905,0.385543,0.095993,1620812673629050368
152,-0.641878,0.656867,0.389034,0.085347,1620812673647156416
153,-0.646369,0.634907,0.390081,0.090757,1620812673669738592
154,-0.682359,0.660982,0.400728,0.081856,1620812673686977600
155,-0.682916,0.651725,0.402822,0.082030,1620812673710612096
156,-0.687768,0.668075,0.404567,0.078714,1620812673729911456
157,-0.692144,0.677344,0.405440,0.082903,1620812673745674624
158,-0.728618,0.704946,0.410676,0.060563,1620812673775843168
159,-0.732990,0.691810,0.411374,0.064752,1620812673786688352
160,-0.737625,0.661415,0.413294,0.056025,1620812673807004704
161,-0.733557,0.670609,0.413992,0.059167,1620812673829501056
162,-0.770371,0.616791,0.413992,0.051836,1620812673844854240
163,-0.783042,0.617209,0.414341,0.052883,1620812673872556064
164,-0.774902,0.646657,0.414690,0.043110,1620812673888550016
165,-0.771036,0.642730,0.414865,0.038746,1620812673908111040
166,-0.766960,0.642730,0.414865,0.039968,1620812673928836480
167,-0.812212,0.618533,0.420275,0.029671,1620812673946619552
168,-0.808134,0.618322,0.420101,0.028623,1620812673968684000
169,-0.800230,0.617266,0.419228,0.025656,1620812673988138528
170,-0.796173,0.617055,0.419054,0.027751,1620812674007438752
171,-0.832932,0.623504,0.417483,0.024086,1620812674028928544
172,-0.837232,0.609723,0.416436,0.019722,1620812674047533408
173,-0.837849,0.629454,0.415563,0.022864,1620812674067971456
174,-0.833859,0.640580,0.414516,0.014486,1620812674094928704
175,-0.874354,0.634929,0.416610,0.013963,1620812674108150112
176,-0.866692,0.614649,0.415039,0.008378,1620812674131741920
177,-0.862702,0.584983,0.414516,0.010647,1620812674149395584
178,-0.859198,0.624218,0.412770,0.005236,1620812674170442336
179,-0.903299,0.571850,0.415388,-0.258483,1620812674189485280
180,-0.895815,0.649231,0.411200,0.007330,1620812674209488416
181,-0.891896,0.625442,0.410501,0.008552,1620812674228716064
182,-0.892509,0.665047,0.409454,0.005236,1620812674248360000
183,-0.919764,0.672747,0.409105,-0.002793,1620812674270546368
184,-0.911961,0.686019,0.408233,-0.006109,1620812674288493216
185,-0.913312,0.659326,0.406662,-0.006458,1620812674306888352
186,-0.917907,0.665973,0.405615,-0.007505,1620812674335028800
187,-0.957117,0.650893,0.403520,-0.004538,1620812674346909664
188,-0.953252,0.621955,0.402997,-0.003316,1620812674372081152
189,-0.950157,0.631453,0.401077,-0.007679,1620812674388917248
190,-0.946340,0.626273,0.400204,-0.008378,1620812674405002624
191,-0.939655,0.678686,0.397761,-0.011519,1620812674430389440
