frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.089557,-0.012495,0.007505,0.023038,0,-1.053208,-0.027978,-0.000072,0.009458,0.000210,0.000000,0.032169,1.000000,-0.020000,1621681545803435597
2,-0.089273,-0.012858,0.007679,0.010472,0,-1.042204,-0.027889,-0.000075,0.009678,0.000095,0.000000,0.032169,0.930000,-0.020000,1621681545823361961
3,-0.090401,-0.014528,0.005760,0.019373,0,-1.196931,-0.028241,-0.000084,0.007259,0.000176,0.000000,0.032169,0.950000,-0.020000,1621681545841376079
4,-0.090114,-0.013968,0.006283,0.017453,0,-1.154801,-0.028152,-0.000081,0.007919,0.000159,0.000000,0.032169,0.960000,-0.020000,1621681545860598786
5,-0.089978,-0.013500,0.006632,0.023736,0,-1.123736,-0.028109,-0.000078,0.008359,0.000216,0.000000,0.032169,0.980000,-0.020000,1621681545880446493
6,-0.089722,-0.013633,0.006632,0.012915,0,-1.124831,-0.028029,-0.000079,0.008359,0.000118,0.000000,0.032169,0.960000,-0.020000,1621681545900594202
7,-0.089459,-0.013671,0.006458,0.022166,0,-1.127926,-0.027947,-0.000079,0.008139,0.000202,0.000000,0.032169,0.980000,-0.020000,1621681545921482720
8,-0.089321,-0.013968,0.006283,0.011694,0,-1.143615,-0.027904,-0.000081,0.007919,0.000106,0.000000,0.032169,0.960000,-0.020000,1621681545941513117
9,-0.090393,-0.017581,0.002443,0.018326,0,-1.437813,-0.028239,-0.000102,0.003079,0.000167,0.000000,0.032169,0.990000,-0.020000,1621681545962552068
10,-0.089849,-0.018042,0.001920,0.016406,0,-1.467029,-0.028069,-0.000105,0.002420,0.000149,0.000000,0.032169,1.020000,-0.020000,1621681545990583448
11,-0.089849,-0.018042,0.001920,0.016406,0,-1.467029,-0.028069,-0.000105,0.002420,0.000149,0.000000,0.032169,1.020000,-0.020000,1621681546004172942
12,-0.089557,-0.018398,0.001571,0.002793,0,-1.494227,-0.027978,-0.000107,0.001980,0.000025,0.000000,0.032169,1.020000,-0.020000,1621681546021520813
13,-0.089273,-0.018255,0.001745,0.018850,0,-1.468131,-0.027889,-0.000106,0.002200,0.000172,0.000000,0.032169,1.000000,-0.020000,1621681546042363954
14,-0.090416,-0.020864,-0.000873,0.011170,0,-1.682499,-0.028246,-0.000121,-0.001100,0.000102,0.000000,0.032169,0.990000,-0.020000,1621681546065385967
15,-0.090125,-0.020524,-0.000524,0.024086,0,-1.645237,-0.028155,-0.000119,-0.000660,0.000219,0.000000,0.032169,1.000000,-0.020000,1621681546081548065
