frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
40,0.162072,-0.055065,-0.019373,0.073827,0,-0.367382,0.022317,-0.000699,-0.029455,0.001425,0.000000,0.032169,1.810000,-0.020000,1621684549042902713
41,0.163594,-0.057169,-0.021118,0.067195,0,-0.516280,0.022527,-0.000726,-0.032109,0.001297,0.000000,0.032169,1.760000,-0.020000,1621684549062678735
42,0.151542,-0.067175,-0.026354,0.065275,0,-1.076892,0.020867,-0.000853,-0.040069,0.001260,0.000000,0.032169,1.790000,-0.020000,1621684549083113275
43,0.153115,-0.070265,-0.027925,0.056549,0,-1.213214,0.021084,-0.000892,-0.042458,0.001091,0.000000,0.032169,1.800000,-0.020000,1621684549102475016
44,0.153676,-0.075418,-0.029322,0.059341,0,-1.331085,0.021161,-0.000958,-0.044580,0.001145,0.000000,0.032169,1.890000,-0.020000,1621684549124099302
45,0.142433,-0.082671,-0.033336,0.053931,0,-1.780738,0.019613,-0.001050,-0.050684,0.001041,0.000000,0.032169,1.880000,-0.020000,1621684549143202331
46,0.144158,-0.087707,-0.035081,0.062657,0,-1.913182,0.019851,-0.001114,-0.053337,0.001209,0.000000,0.032169,1.930000,-0.020000,1621684549163409796
47,0.146611,-0.091812,-0.036826,0.058643,0,-2.053298,0.020188,-0.001166,-0.055991,0.001132,0.000000,0.032169,1.950000,-0.020000,1621684549183613771
48,0.142914,-0.091341,-0.041713,0.061087,0,-2.505133,0.019679,-0.001160,-0.063421,0.001179,0.000000,0.032169,1.950000,-0.010000,1621684549203614786
49,0.135847,-0.095270,-0.043284,0.053407,0,-2.709074,0.018706,-0.001210,-0.065809,0.001031,0.000000,0.032169,1.970000,-0.010000,1621684549222952318
50,0.131906,-0.101148,-0.047473,0.071908,0,-3.088884,0.018163,-0.001285,-0.072178,0.001388,0.000000,0.032169,1.920000,-0.010000,1621684549242518493
51,0.125566,-0.104806,-0.048869,0.067195,0,-3.268405,0.017290,-0.001331,-0.074301,0.001297,0.000000,0.032169,1.940000,-0.010000,1621684549262854915
52,0.119352,-0.113044,-0.050265,0.071209,0,-3.440620,0.016435,-0.001436,-0.076424,0.001374,0.000000,0.032169,2.050000,-0.010000,1621684549283208501
53,0.105482,-0.113265,-0.054454,0.065101,0,-3.921859,0.014525,-0.001438,-0.082792,0.001256,0.000000,0.032169,2.080000,0.000000,1621684549303464193
54,0.106878,-0.117476,-0.055676,0.067021,0,-4.018221,0.014717,-0.001492,-0.084650,0.001293,0.000000,0.032169,2.110000,0.000000,1621684549323857455
55,0.097124,-0.125245,-0.060214,0.051487,0,-4.513311,0.013374,-0.001591,-0.091549,0.000994,0.000000,0.032169,2.080000,0.000000,1621684549352409445
56,0.097124,-0.125245,-0.060214,0.051487,0,-4.513311,0.013374,-0.001591,-0.091549,0.000994,0.000000,0.032169,2.080000,0.000000,1621684549361711260
57,0.090405,-0.128893,-0.061087,0.044680,0,-4.652519,0.012449,-0.001637,-0.092876,0.000862,0.000000,0.032169,2.110000,0.000000,1621684549381500475
58,0.084504,-0.111716,-0.061785,0.032638,0,-4.760712,0.011636,-0.001419,-0.093937,0.000630,0.000000,0.032169,1.970000,0.010000,1621684549402582102
59,0.079135,-0.118683,-0.063705,0.032114,0,-4.975963,0.010897,-0.001507,-0.096856,0.000620,0.000000,0.032169,2.020000,0.010000,1621684549426760469
60,0.084556,-0.116529,-0.064228,0.018850,0,-4.991906,0.011643,-0.001480,-0.097652,0.000364,0.000000,0.032169,1.970000,0.010000,1621684549449172871
61,0.084556,-0.116529,-0.064228,0.018850,0,-4.991906,0.011643,-0.001480,-0.097652,0.000364,0.000000,0.032169,1.970000,0.010000,1621684549461330327
62,0.079120,-0.116296,-0.065101,-0.014835,0,-5.147890,0.010895,-0.001477,-0.098979,-0.000286,0.000000,0.032169,1.940000,0.010000,1621684549483131604
63,0.073257,-0.110438,-0.064752,-0.005934,0,-5.149639,0.010087,-0.001403,-0.098449,-0.000115,0.000000,0.032169,1.860000,0.010000,1621684549508189960
64,0.075566,-0.114634,-0.064577,-0.024435,0,-5.139727,0.010405,-0.001456,-0.098183,-0.000472,0.000000,0.032169,1.930000,0.010000,1621684549528815645
65,0.070950,-0.114941,-0.064403,-0.017453,0,-5.153444,0.009770,-0.001460,-0.097918,-0.000337,0.000000,0.032169,1.940000,0.010000,1621684549543913315
66,0.073233,-0.116135,-0.063705,-0.037525,0,-5.097683,0.010084,-0.001475,-0.096856,-0.000724,0.000000,0.032169,1.980000,0.010000,1621684549564223094
67,0.068724,-0.119099,-0.064228,-0.017628,0,-5.159020,0.009463,-0.001513,-0.097652,-0.000340,0.000000,0.032169,2.010000,0.010000,1621684549585357045
68,0.062020,-0.114810,-0.063355,-0.033510,0,-5.150332,0.008540,-0.001458,-0.096326,-0.000647,0.000000,0.032169,1.970000,0.010000,1621684549606517960
69,0.064221,-0.110878,-0.062308,-0.031765,0,-5.036958,0.008843,-0.001408,-0.094733,-0.000613,0.000000,0.032169,1.940000,0.010000,1621684549622438683
70,0.059928,-0.100302,-0.062657,-0.032812,0,-5.094692,0.008252,-0.001274,-0.095264,-0.000633,0.000000,0.032169,1.920000,0.020000,1621684549644135084
71,0.062776,-0.100072,-0.061261,-0.033510,0,-4.951195,0.008644,-0.001271,-0.093141,-0.000647,0.000000,0.032169,1.960000,0.020000,1621684549666782214
72,0.065486,-0.100222,-0.059516,-0.041364,0,-4.786571,0.009017,-0.001273,-0.090488,-0.000798,0.000000,0.032169,2.020000,0.020000,1621684549683479523
73,0.061482,-0.102480,-0.060039,-0.060214,0,-4.886264,0.008466,-0.001301,-0.091284,-0.001162,0.000000,0.032169,2.040000,0.020000,1621684549703916464
74,0.053827,-0.099367,-0.057945,-0.058119,0,-4.759627,0.007412,-0.001262,-0.088099,-0.001122,0.000000,0.032169,2.060000,0.020000,1621684549724651283
75,0.065835,-0.104693,-0.055676,-0.072082,0,-4.486548,0.009066,-0.001330,-0.084650,-0.001391,0.000000,0.032169,2.060000,0.010000,1621684549745474645
76,0.062240,-0.100584,-0.055851,-0.063355,0,-4.517476,0.008571,-0.001277,-0.084915,-0.001223,0.000000,0.032169,1.980000,0.010000,1621684549762776258
77,0.073436,-0.097530,-0.053233,-0.085870,0,-4.223765,0.010112,-0.001239,-0.080935,-0.001657,0.000000,0.032169,2.020000,0.010000,1621684549782596150
78,0.069758,-0.099125,-0.053756,-0.052534,0,-4.262693,0.009606,-0.001259,-0.081731,-0.001014,0.000000,0.032169,2.030000,0.010000,1621684549803039016
79,0.071817,-0.096514,-0.050964,-0.057770,0,-4.007067,0.009889,-0.001226,-0.077485,-0.001115,0.000000,0.032169,2.090000,0.010000,1621684549825904958
80,0.082592,-0.099948,-0.047822,-0.058294,0,-3.651464,0.011373,-0.001269,-0.072709,-0.001125,0.000000,0.032169,2.090000,0.000000,1621684549843670614
81,0.079592,-0.099337,-0.048695,-0.063530,0,-3.756497,0.010960,-0.001262,-0.074035,-0.001226,0.000000,0.032169,2.040000,0.000000,1621684549864672440
82,0.090177,-0.093480,-0.045379,-0.064054,0,-3.380428,0.012417,-0.001187,-0.068994,-0.001236,0.000000,0.032169,2.060000,0.000000,1621684549883302170
83,0.091486,-0.094966,-0.042062,-0.061785,0,-3.079797,0.012598,-0.001206,-0.063952,-0.001192,0.000000,0.032169,2.020000,-0.010000,1621684549905949139
84,0.098208,-0.097659,-0.042761,-0.092153,0,-3.123125,0.013523,-0.001240,-0.065013,-0.001779,0.000000,nan,2.050000,-0.010000,1621684549929350471
85,0.108325,-0.091219,-0.039619,-0.078540,0,-2.749888,0.014916,-0.001158,-0.060237,-0.001516,0.000000,nan,2.050000,-0.010000,1621684549943088481
86,0.108951,-0.084779,-0.036477,-0.086219,0,-2.475088,0.015002,-0.001077,-0.055460,-0.001664,0.000000,nan,2.050000,-0.010000,1621684549964293748
87,0.116598,-0.076549,-0.032463,-0.064577,0,-2.035137,0.016056,-0.000972,-0.049357,-0.001246,0.000000,nan,2.050000,-0.010000,1621684549984546526
88,0.126286,-0.081481,-0.029845,-0.064926,0,-1.734624,0.017390,-0.001035,-0.045377,-0.001253,0.000000,nan,2.060000,-0.020000,1621684550004508711
89,0.125369,-0.077886,-0.028100,-0.054280,0,-1.575427,0.017263,-0.000989,-0.042723,-0.001048,0.000000,0.000000,2.060000,-0.020000,1621684550023719714
90,0.125792,-0.073878,-0.025656,-0.050964,0,-1.352650,0.017322,-0.000938,-0.039008,-0.000984,0.000000,0.000000,2.100000,-0.020000,1621684550044316749
91,0.135145,-0.070084,-0.023736,-0.050091,0,-1.107890,0.018609,-0.000890,-0.036089,-0.000967,0.000000,0.000000,2.110000,-0.020000,1621684550062829155
92,0.143627,-0.069257,-0.023911,-0.034907,0,-1.038780,0.019777,-0.000880,-0.036354,-0.000674,0.000000,nan,2.060000,-0.020000,1621684550084020911
93,0.143819,-0.076326,-0.022166,-0.045553,0,-0.902144,0.019804,-0.000969,-0.033701,-0.000879,0.000000,nan,2.090000,-0.030000,1621684550103887643
94,0.143915,-0.072516,-0.020246,-0.036128,0,-0.720947,0.019817,-0.000921,-0.030782,-0.000697,0.000000,nan,2.100000,-0.030000,1621684550124472093
95,0.143758,-0.066181,-0.021991,-0.036303,0,-0.869809,0.019795,-0.000841,-0.033435,-0.000701,0.000000,nan,2.100000,-0.020000,1621684550145741056
96,0.143752,-0.063495,-0.020420,-0.025656,0,-0.719291,0.019795,-0.000806,-0.031047,-0.000495,0.000000,nan,2.130000,-0.020000,1621684550164915078
97,0.143833,-0.064192,-0.020944,-0.045902,0,-0.787156,0.019806,-0.000815,-0.031843,-0.000886,0.000000,0.000000,2.110000,-0.020000,1621684550183231314
98,0.143769,-0.070684,-0.019373,-0.046600,0,-0.656326,0.019797,-0.000898,-0.029455,-0.000899,0.000000,0.000000,2.100000,-0.030000,1621684550204272501
99,0.143542,-0.066317,-0.017802,-0.038746,0,-0.509413,0.019766,-0.000842,-0.027067,-0.000748,0.000000,0.000000,2.040000,-0.030000,1621684550222680129
100,0.152896,-0.056631,-0.017279,-0.047298,0,-0.392416,0.021054,-0.000719,-0.026271,-0.000913,0.000000,0.000000,2.120000,-0.020000,1621684550242994054
101,0.152567,-0.053242,-0.015533,-0.036303,0,-0.228341,0.021009,-0.000676,-0.023617,-0.000701,0.000000,0.000000,2.140000,-0.020000,1621684550263814894
102,0.162277,-0.052039,-0.015184,-0.037525,0,-0.121803,0.022346,-0.000661,-0.023086,-0.000724,0.000000,0.000000,2.110000,-0.020000,1621684550284196226
103,0.161858,-0.058222,-0.013439,-0.027053,0,0.034014,0.022288,-0.000739,-0.020433,-0.000522,0.000000,0.000000,2.100000,-0.030000,1621684550303214619
104,0.161284,-0.054674,-0.011694,-0.024260,0,0.187189,0.022209,-0.000694,-0.017779,-0.000468,0.000000,0.000000,2.110000,-0.030000,1621684550324948676
105,0.072372,-0.057903,-0.012741,-0.020595,0,-0.603808,0.009966,-0.000735,-0.019371,-0.000397,0.000000,0.032169,2.190000,-0.030000,1621684550344543280
106,0.080675,-0.053860,-0.010996,-0.010821,0,-0.372516,0.011109,-0.000684,-0.016718,-0.000209,0.000000,0.032169,2.170000,-0.030000,1621684550368585932
107,0.080041,-0.049518,-0.009250,-0.026878,0,-0.240073,0.011022,-0.000629,-0.014064,-0.000519,0.000000,0.032169,2.110000,-0.030000,1621684550382807585
108,0.081297,-0.060159,-0.009599,-0.017628,0,-0.258082,0.011195,-0.000764,-0.014595,-0.000340,0.000000,0.032169,2.100000,-0.040000,1621684550404614781
109,0.089362,-0.056980,-0.008203,-0.016406,0,-0.069162,0.012305,-0.000724,-0.012472,-0.000317,0.000000,0.032169,2.070000,-0.040000,1621684550423612871
110,0.090836,-0.062571,-0.010647,-0.015359,0,-0.273298,0.012508,-0.000795,-0.016187,-0.000296,0.000000,0.032169,2.120000,-0.040000,1621684550443640772
111,0.090836,-0.062571,-0.010647,-0.015359,0,-0.273298,0.012508,-0.000795,-0.016187,-0.000296,0.000000,0.032169,2.120000,-0.040000,1621684550466313150
112,0.097977,-0.057308,-0.008203,-0.017628,0,-0.002776,0.013491,-0.000728,-0.012472,-0.000340,0.000000,0.032169,2.110000,-0.040000,1621684550483923932
113,0.108659,-0.066204,-0.007679,-0.002793,0,0.137043,0.014962,-0.000841,-0.011676,-0.000054,0.000000,0.032169,2.110000,-0.050000,1621684550504535121
114,0.107492,-0.065289,-0.006981,-0.027053,0,0.162486,0.014802,-0.000829,-0.010614,-0.000522,0.000000,0.032169,2.190000,-0.050000,1621684550525836683
115,0.118303,-0.063509,-0.006283,-0.005236,0,0.334021,0.016290,-0.000807,-0.009553,-0.000101,0.000000,0.032169,2.150000,-0.050000,1621684550544366252
116,0.126063,-0.061617,-0.005585,0.006981,0,0.470945,0.017359,-0.000783,-0.008492,0.000135,0.000000,0.032169,2.080000,-0.050000,1621684550564042706
117,0.124804,-0.061673,-0.005585,0.002443,0,0.455955,0.017186,-0.000783,-0.008492,0.000047,0.000000,0.032169,2.090000,-0.050000,1621684550584077812
118,0.126697,-0.067624,-0.003665,0.013963,0,0.646545,0.017446,-0.000859,-0.005573,0.000269,0.000000,0.032169,2.080000,-0.060000,1621684550603880434
119,0.125433,-0.068409,-0.003840,-0.007330,0,0.597251,0.017272,-0.000869,-0.005838,-0.000141,0.000000,0.032169,2.190000,-0.060000,1621684550628742252
120,0.127322,-0.055205,-0.002443,0.009774,0,0.762303,0.017532,-0.000701,-0.003715,0.000189,0.000000,0.032169,2.130000,-0.050000,1621684550644558367
121,0.126060,-0.055920,-0.002793,0.000698,0,0.711386,0.017358,-0.000710,-0.004246,0.000013,0.000000,0.032169,2.120000,-0.050000,1621684550664926826
122,0.124830,-0.056817,-0.003142,0.006807,0,0.677372,0.017189,-0.000722,-0.004776,0.000131,0.000000,0.032169,2.170000,-0.050000,1621684550686255703
123,0.126651,-0.054089,-0.001920,0.003840,0,0.796869,0.017440,-0.000687,-0.002919,0.000074,0.000000,0.032169,2.130000,-0.050000,1621684550705301475
124,0.125755,-0.055205,-0.002443,-0.002618,0,0.736237,0.017316,-0.000701,-0.003715,-0.000051,0.000000,0.032169,2.130000,-0.050000,1621684550724416703
125,0.124615,-0.056754,-0.003142,0.004189,0,0.672826,0.017159,-0.000721,-0.004776,0.000081,0.000000,0.032169,2.150000,-0.050000,1621684550749124205
126,0.126036,-0.053944,-0.001745,-0.005934,0,0.796520,0.017355,-0.000685,-0.002654,-0.000115,0.000000,0.032169,2.260000,-0.050000,1621684550764730669
127,0.124964,-0.055890,-0.002618,-0.010123,0,0.705997,0.017208,-0.000710,-0.003980,-0.000195,0.000000,0.032169,2.250000,-0.050000,1621684550784010973
128,0.126784,-0.040764,-0.000349,0.003142,0,0.943679,0.017458,-0.000518,-0.000531,0.000061,0.000000,0.032169,2.190000,-0.040000,1621684550802935636
129,0.116785,-0.043086,-0.001396,-0.001047,0,0.767249,0.016081,-0.000547,-0.002123,-0.000020,0.000000,0.032169,2.210000,-0.040000,1621684550824304476
130,0.115855,-0.044969,-0.002269,0.005236,0,0.689467,0.015953,-0.000571,-0.003450,0.000101,0.000000,0.032169,2.190000,-0.040000,1621684550847284559
131,0.108256,-0.042314,-0.001047,-0.003840,0,0.727838,0.014907,-0.000537,-0.001592,-0.000074,0.000000,0.032169,2.210000,-0.040000,1621684550864167278
132,0.107154,-0.043892,-0.001745,-0.005236,0,0.655636,0.014755,-0.000557,-0.002654,-0.000101,0.000000,0.032169,2.230000,-0.040000,1621684550883997600
133,0.108448,-0.033440,-0.001571,0.005411,0,0.700432,0.014933,-0.000425,-0.002388,0.000104,0.000000,0.032169,2.190000,-0.030000,1621684550904341786
134,0.098619,-0.034924,-0.002269,0.002967,0,0.558282,0.013580,-0.000444,-0.003450,0.000057,0.000000,0.032169,2.170000,-0.030000,1621684550924322901
135,0.108829,-0.038751,-0.004014,0.013963,0,0.496172,0.014986,-0.000492,-0.006103,0.000269,0.000000,0.032169,2.180000,-0.030000,1621684550945083796
