frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.252645,0.031173,0.058818,-0.003840,0,-0.703569,-0.079331,0.000103,0.066970,-0.000022,0.000000,0.000000,0.530000,0.000000,1621681222007783980
2,-0.250618,0.028383,0.060388,-0.013090,0,-0.568110,-0.078694,0.000094,0.068758,-0.000073,0.000000,0.000000,0.470000,0.000000,1621681222023543965
3,-0.250618,0.030194,0.060388,-0.010297,0,-0.566871,-0.078694,0.000100,0.068758,-0.000058,0.000000,0.000000,0.500000,0.000000,1621681222043888162
4,-0.251075,0.029070,0.060563,-0.010472,0,-0.563986,-0.078838,0.000096,0.068957,-0.000059,0.000000,0.000000,0.480000,0.000000,1621681222066012987
5,-0.251051,0.030892,0.061785,-0.013265,0,-0.484402,-0.078830,0.000102,0.070348,-0.000074,0.000000,0.000000,0.500000,0.000000,1621681222099132815
6,-0.251288,0.030892,0.061785,-0.013265,0,-0.488666,-0.078905,0.000102,0.070348,-0.000074,0.000000,0.000000,0.500000,0.000000,1621681222106791141
7,-0.251531,0.042491,0.062483,-0.002094,0,-0.441713,-0.078981,0.000140,0.071143,-0.000012,0.000000,0.000000,0.520000,0.010000,1621681222123251678
8,-0.251785,0.044270,0.062308,-0.011694,0,-0.460404,-0.079060,0.000146,0.070944,-0.000065,0.000000,0.000000,0.550000,0.010000,1621681222144920658
9,-0.252034,0.042310,0.062134,-0.003840,0,-0.474132,-0.079139,0.000140,0.070745,-0.000022,0.000000,0.000000,0.520000,0.010000,1621681222163908967
10,-0.252280,0.044078,0.061959,-0.017977,0,-0.494142,-0.079216,0.000145,0.070547,-0.000101,0.000000,0.000000,0.550000,0.010000,1621681222183012958
11,-0.252542,0.041777,0.062308,-0.008203,0,-0.473386,-0.079298,0.000138,0.070944,-0.000046,0.000000,0.000000,0.510000,0.010000,1621681222203372323
12,-0.252795,0.044893,0.062308,-0.016057,0,-0.479861,-0.079378,0.000148,0.070944,-0.000090,0.000000,0.000000,0.560000,0.010000,1621681222225185240
13,-0.250795,0.045018,0.061436,0.000698,0,-0.495410,-0.078750,0.000149,0.069951,0.000004,0.000000,0.000000,0.570000,0.010000,1621681222244792980
14,-0.250802,0.044306,0.061261,-0.001571,0,-0.507780,-0.078752,0.000146,0.069752,-0.000009,0.000000,0.000000,0.560000,0.010000,1621681222264683508
15,-0.251535,0.046247,0.061436,0.002269,0,-0.507990,-0.078982,0.000153,0.069951,0.000013,0.000000,0.000000,0.590000,0.010000,1621681222287500244
16,-0.251535,0.048704,0.061436,-0.002094,0,-0.508925,-0.078982,0.000161,0.069951,-0.000012,0.000000,0.000000,0.630000,0.010000,1621681222305250204
17,-0.252031,0.049430,0.061610,-0.002443,0,-0.506444,-0.079138,0.000163,0.070149,-0.000014,0.000000,0.000000,0.640000,0.010000,1621681222325112091
18,-0.252031,0.049430,0.061610,-0.000349,0,-0.505772,-0.079138,0.000163,0.070149,-0.000002,0.000000,0.000000,0.640000,0.010000,1621681222342858850
19,-0.252522,0.048704,0.061436,0.000175,0,-0.525952,-0.079292,0.000161,0.069951,0.000001,0.000000,0.000000,0.630000,0.010000,1621681222363908175
20,-0.252535,0.048924,0.061785,0.007330,0,-0.501087,-0.079296,0.000161,0.070348,0.000041,0.000000,0.000000,0.630000,0.010000,1621681222385283007
21,-0.252838,0.046442,0.062832,-0.000873,0,-0.441320,-0.079391,0.000153,0.071540,-0.000005,0.000000,0.000000,0.580000,0.010000,1621681222403201161
22,-0.241486,0.048704,0.061436,-0.002269,0,-0.328191,-0.075827,0.000161,0.069951,-0.000013,0.000000,0.000000,0.630000,0.010000,1621681222423068904
23,-0.241995,0.045416,0.062134,-0.007330,0,-0.294047,-0.075986,0.000150,0.070745,-0.000041,0.000000,0.000000,0.570000,0.010000,1621681222445214273
24,-0.241995,0.044174,0.062134,-0.002443,0,-0.292714,-0.075986,0.000146,0.070745,-0.000014,0.000000,0.000000,0.550000,0.010000,1621681222464247607
25,-0.242537,0.046865,0.062483,-0.019199,0,-0.284558,-0.076157,0.000155,0.071143,-0.000108,0.000000,0.000000,0.590000,0.010000,1621681222484946911
26,-0.242815,0.052844,0.063006,-0.001571,0,-0.248624,-0.076244,0.000174,0.071739,-0.000009,0.000000,0.000000,0.680000,0.010000,1621681222504482619
27,-0.243383,0.054227,0.063181,-0.017628,0,-0.252349,-0.076422,0.000179,0.071938,-0.000099,0.000000,0.000000,0.700000,0.010000,1621681222523925749
28,-0.243707,0.050464,0.064228,-0.003142,0,-0.185919,-0.076524,0.000167,0.073130,-0.000018,0.000000,0.000000,0.630000,0.010000,1621681222545450055
29,-0.244019,0.048746,0.064577,-0.011345,0,-0.171725,-0.076622,0.000161,0.073528,-0.000064,0.000000,0.000000,0.600000,0.010000,1621681222565237542
30,-0.241282,0.046945,0.065973,0.000349,0,-0.027982,-0.075763,0.000155,0.075117,0.000002,0.000000,0.000000,0.560000,0.010000,1621681222583919384
31,-0.241264,0.049130,0.066323,-0.013090,0,-0.008787,-0.075757,0.000162,0.075515,-0.000073,0.000000,0.000000,0.590000,0.010000,1621681222604201852
32,-0.241880,0.045336,0.066672,0.004014,0,0.007685,-0.075950,0.000150,0.075912,0.000022,0.000000,0.000000,0.530000,0.010000,1621681222623893753
33,-0.241890,0.046477,0.066323,-0.008727,0,-0.019142,-0.075953,0.000153,0.075515,-0.000049,0.000000,0.000000,0.550000,0.010000,1621681222644424064
34,-0.242519,0.048163,0.065799,0.002967,0,-0.060547,-0.076151,0.000159,0.074919,0.000017,0.000000,0.000000,0.580000,0.010000,1621681222663744537
35,-0.242826,0.048163,0.065799,-0.003142,0,-0.068029,-0.076247,0.000159,0.074919,-0.000018,0.000000,0.000000,0.580000,0.010000,1621681222686169237
36,-0.243449,0.049027,0.066148,0.008552,0,-0.052553,-0.076443,0.000162,0.075316,0.000048,0.000000,0.000000,0.590000,0.010000,1621681222703330230
37,-0.243449,0.049689,0.066148,0.002269,0,-0.054444,-0.076443,0.000164,0.075316,0.000013,0.000000,0.000000,0.600000,0.010000,1621681222722569838
38,-0.243440,0.050795,0.065799,0.002618,0,-0.076728,-0.076440,0.000168,0.074919,0.000015,0.000000,0.000000,0.620000,0.010000,1621681222743038004
39,-0.244028,0.053082,0.065275,-0.000873,0,-0.122156,-0.076625,0.000175,0.074322,-0.000005,0.000000,0.000000,0.660000,0.010000,1621681222763948287
40,-0.241327,0.052045,0.063705,0.004712,0,-0.174439,-0.075777,0.000172,0.072534,0.000026,0.000000,0.000000,0.660000,0.010000,1621681222782793459
41,-0.241647,0.053595,0.063181,0.010647,0,-0.212158,-0.075877,0.000177,0.071938,0.000060,0.000000,0.000000,0.690000,0.010000,1621681222806621471
42,-0.241950,0.052726,0.062832,0.000349,0,-0.243855,-0.075972,0.000174,0.071540,0.000002,0.000000,0.000000,0.680000,0.010000,1621681222822834837
43,-0.242243,0.051980,0.062657,-0.004189,0,-0.262100,-0.076064,0.000172,0.071342,-0.000023,0.000000,0.000000,0.670000,0.010000,1621681222855236769
44,-0.242530,0.051980,0.062657,-0.004189,0,-0.267273,-0.076154,0.000172,0.071342,-0.000023,0.000000,0.000000,0.670000,0.010000,1621681222862902071
45,-0.242817,0.053738,0.062483,0.003840,0,-0.280908,-0.076245,0.000177,0.071143,0.000022,0.000000,0.000000,0.700000,0.010000,1621681222882924697
46,-0.243393,0.052607,0.062657,-0.005411,0,-0.283064,-0.076425,0.000174,0.071342,-0.000030,0.000000,0.000000,0.680000,0.010000,1621681222903736258
47,-0.243680,0.048848,0.062657,0.002618,0,-0.286372,-0.076516,0.000161,0.071342,0.000015,0.000000,0.000000,0.620000,0.010000,1621681222923559809
48,-0.243985,0.047804,0.063006,-0.009774,0,-0.273256,-0.076611,0.000158,0.071739,-0.000055,0.000000,0.000000,0.600000,0.010000,1621681222943437249
49,-0.232362,0.051123,0.062308,0.005411,0,-0.104196,-0.072962,0.000169,0.070944,0.000030,0.000000,0.032169,0.660000,0.010000,1621681222967927540
50,-0.232658,0.051123,0.062308,-0.008203,0,-0.113876,-0.073054,0.000169,0.070944,-0.000046,0.000000,0.032169,0.660000,0.010000,1621681222991954562
51,-0.232948,0.051239,0.062483,0.005760,0,-0.103211,-0.073146,0.000169,0.071143,0.000032,0.000000,0.032169,0.660000,0.010000,1621681223004637521
52,-0.233245,0.048115,0.062483,-0.006807,0,-0.113181,-0.073239,0.000159,0.071143,-0.000038,0.000000,0.032169,0.610000,0.010000,1621681223022531514
53,-0.233541,0.049474,0.062657,0.007156,0,-0.102386,-0.073332,0.000163,0.071342,0.000040,0.000000,0.032169,0.630000,0.010000,1621681223041963700
54,-0.233840,0.049989,0.062483,-0.005411,0,-0.123074,-0.073426,0.000165,0.071143,-0.000030,0.000000,0.032169,0.640000,0.010000,1621681223063168834
55,-0.234443,0.048327,0.062832,0.010123,0,-0.106497,-0.073615,0.000159,0.071540,0.000057,0.000000,0.032169,0.610000,0.010000,1621681223082809663
56,-0.234448,0.046544,0.063006,-0.009774,0,-0.101917,-0.073617,0.000154,0.071739,-0.000055,0.000000,0.032169,0.580000,0.010000,1621681223104251760
57,-0.234758,0.046645,0.063181,0.008029,0,-0.090372,-0.073714,0.000154,0.071938,0.000045,0.000000,0.032169,0.580000,0.010000,1621681223122681887
58,-0.235054,0.042133,0.063006,-0.003491,0,-0.111639,-0.073807,0.000139,0.071739,-0.000020,0.000000,0.032169,0.510000,0.010000,1621681223146107847
59,-0.232345,0.043458,0.061959,0.009076,0,-0.126922,-0.072956,0.000143,0.070547,0.000051,0.000000,0.032169,0.540000,0.010000,1621681223163671404
60,-0.232664,0.044404,0.061436,-0.003491,0,-0.170689,-0.073057,0.000147,0.069951,-0.000020,0.000000,0.032169,0.560000,0.010000,1621681223184492534
61,-0.232982,0.044521,0.060563,0.008901,0,-0.229343,-0.073156,0.000147,0.068957,0.000050,0.000000,0.032169,0.570000,0.010000,1621681223204162131
62,-0.233272,0.044924,0.060214,-0.006807,0,-0.262288,-0.073247,0.000148,0.068560,-0.000038,0.000000,0.032169,0.580000,0.010000,1621681223225059326
63,-0.233832,0.046730,0.060214,0.007679,0,-0.267364,-0.073423,0.000154,0.068560,0.000043,0.000000,0.032169,0.610000,0.010000,1621681223246028746
64,-0.234108,0.046624,0.060039,-0.001222,0,-0.286608,-0.073510,0.000154,0.068361,-0.000007,0.000000,0.032169,0.610000,0.010000,1621681223264418584
65,-0.234391,0.048537,0.060214,0.002443,0,-0.278769,-0.073599,0.000160,0.068560,0.000014,0.000000,0.032169,0.640000,0.010000,1621681223283253868
66,-0.234671,0.047935,0.060214,0.002443,0,-0.283915,-0.073687,0.000158,0.068560,0.000014,0.000000,0.032169,0.630000,0.010000,1621681223308020450
