frame,e_y,e_y_dot,e_phi,e_phi_dot,timestamp
1,0.144174,-0.020024,-0.063530,0.008029,1620812255249497600
2,0.143525,-0.021930,-0.063530,0.012392,1620812255264544832
3,0.142877,-0.021294,-0.063530,0.003665,1620812255285372064
4,0.142239,-0.019172,-0.063181,0.003840,1620812255304360800
5,0.141594,-0.021699,-0.063181,0.003840,1620812255328746464
6,0.140986,-0.019364,-0.062483,-0.000524,1620812255347181952
7,0.140986,-0.019989,-0.062483,-0.000524,1620812255367317216
8,0.146082,-0.010840,-0.049742,0.015533,1620812255384936448
9,0.145458,-0.008651,-0.050265,0.028449,1620812255407908480
10,0.144172,-0.010662,-0.050265,0.010123,1620812255427904992
11,0.143531,-0.008552,-0.050091,0.026354,1620812255445824704
12,0.151865,-0.012446,-0.049916,0.011170,1620812255467206368
13,0.151861,-0.010555,-0.050091,0.026180,1620812255485032416
14,0.150572,-0.011667,-0.050265,0.014137,1620812255508513984
15,0.150550,-0.011997,-0.050789,0.021817,1620812255528352576
16,0.155755,-0.010857,-0.047473,0.012392,1620812255543542304
17,0.155109,-0.010018,-0.047647,0.015533,1620812255566749984
18,0.162779,-0.012392,-0.048346,0.008203,1620812255585584576
19,0.162117,-0.012254,-0.048869,0.015882,1620812255607368352
20,0.161449,-0.012742,-0.048869,0.008378,1620812255626159520
21,0.161449,-0.010788,-0.048869,0.023562,1620812255651157792
22,0.169094,-0.012509,-0.048520,0.012566,1620812255670279904
23,0.169100,-0.008524,-0.048346,0.027751,1620812255685974432
24,0.168445,-0.011311,-0.048171,0.027751,1620812255710884544
25,0.167804,-0.007433,-0.047298,0.038223,1620812255772409024
26,0.173037,-0.000752,-0.035779,0.047997,1620812255776443200
27,0.171733,0.010061,-0.035605,0.052185,1620812255786172288
28,0.171084,0.012896,-0.034907,0.048869,1620812255805716768
29,0.170445,0.013329,-0.034732,0.049044,1620812255827227808
30,0.169821,0.005365,-0.034034,0.049916,1620812255845252736
31,0.169201,0.001810,-0.033685,0.054280,1620812255866594016
32,0.168641,0.004585,-0.032114,0.049916,1620812255888333920
33,0.168097,0.003627,-0.030892,0.041364,1620812255904823392
34,0.173405,0.020139,-0.019722,0.044680,1620812255930289152
35,0.172773,0.019737,-0.018326,0.037176,1620812255945894208
36,0.172176,0.019909,-0.017104,0.045728,1620812255965975936
37,0.171064,0.020835,-0.015533,0.042586,1620812255984738112
38,0.170022,0.022041,-0.013963,0.041539,1620812256005232992
39,0.169086,0.023204,-0.011519,0.043633,1620812256051669472
40,0.169086,0.023075,-0.010821,0.044680,1620812256058852544
41,0.168631,0.023075,-0.010821,0.044680,1620812256067099392
42,0.168685,0.023940,-0.009774,0.036128,1620812256082664480
43,0.172422,0.022858,-0.010821,0.039095,1620812256103652352
44,0.171474,0.024101,-0.009076,0.036826,1620812256127271008
45,0.171030,0.024303,-0.008378,0.051836,1620812256147680960
46,0.161631,0.016419,-0.006283,0.036652,1620812256172357088
47,0.161230,0.016199,-0.005760,0.046426,1620812256189300320
48,0.160875,0.017511,-0.004014,0.045379,1620812256206936800
49,0.160518,0.017811,-0.003316,0.048520,1620812256226320320
50,0.160228,0.019042,-0.001571,0.042062,1620812256249141312
51,0.163303,0.025089,0.009425,0.039444,1620812256284904512
52,0.162949,0.025669,0.010123,0.050265,1620812256294448064
53,0.162610,0.025669,0.010123,0.050265,1620812256304891200
54,0.162252,0.027645,0.012741,0.044855,1620812256327258624
55,0.161954,0.029006,0.015010,0.056723,1620812256346029600
56,0.161701,0.029053,0.015882,0.048171,1620812256364342208
57,0.161495,0.033387,0.022689,0.062134,1620812256424562336
58,0.161209,0.033387,0.022689,0.062134,1620812256429693440
59,0.161079,0.032959,0.023562,0.057770,1620812256444359616
60,0.162390,0.037094,0.028972,0.061261,1620812256468622656
61,0.153236,0.038206,0.029845,0.056898,1620812256485413824
62,0.152925,0.041441,0.032987,0.066497,1620812256504254176
63,0.152826,0.043946,0.034208,0.058992,1620812256526894976
64,0.152709,0.044674,0.036826,0.067544,1620812256545302752
65,0.152717,0.040639,0.037525,0.040841,1620812256571740960
66,0.152708,0.040148,0.038746,0.057945,1620812256586424256
67,0.143822,0.045023,0.042412,0.066497,1620812256605695360
68,0.143901,0.048475,0.043808,0.075049,1620812256629254752
69,0.143511,0.035607,0.045728,0.083950,1620812256644492000
70,0.143533,0.040987,0.046949,0.080634,1620812256665449472
71,0.143533,0.044181,0.050265,0.094597,1620812256686782944
72,0.143609,0.044601,0.053233,0.079587,1620812256704532608
73,0.143750,0.048898,0.056374,0.091281,1620812256726252832
74,0.134962,0.057085,0.057945,0.077493,1620812256744774432
75,0.135512,0.068381,0.062832,0.081681,1620812256766986528
76,0.135512,0.068381,0.062832,0.081681,1620812256788004864
77,0.124791,0.074149,0.074176,0.105418,1620812256804436224
78,0.125073,0.077435,0.075573,0.119381,1620812256828141856
79,0.116739,0.084926,0.081158,0.121475,1620812256843408224
80,0.116731,0.086462,0.083078,0.122522,1620812256867204768
81,0.118134,0.105067,0.088314,0.136485,1620812256885561696
82,0.109771,0.108952,0.091804,0.125838,1620812256905292000
83,0.096479,0.114013,0.095470,0.128631,1620812256928064064
84,0.096877,0.115706,0.099658,0.145735,1620812256944760576
85,0.098671,0.117378,0.104022,0.126536,1620812256966583776
86,0.099348,0.127765,0.115017,0.131947,1620812257020486336
87,0.091120,0.127765,0.115017,0.131947,1620812257028824096
88,0.092743,0.127765,0.115017,0.131947,1620812257035707936
89,0.084799,0.124724,0.119904,0.131947,1620812257045706208
90,0.068914,0.129986,0.129852,0.127933,1620812257062332768
91,0.069755,0.143775,0.132296,0.138579,1620812257087864384
92,0.062634,0.154423,0.139801,0.133169,1620812257105916576
93,0.054722,0.172244,0.142244,0.109956,1620812257127647744
94,0.055882,0.163568,0.148877,0.123744,1620812257145277344
95,0.049274,0.169985,0.151146,0.122697,1620812257165845376
96,0.041824,0.170956,0.157778,0.119555,1620812257187035488
97,0.031989,0.183606,0.163188,0.122348,1620812257206099136
98,0.024140,0.185896,0.169646,0.126711,1620812257231809952
99,0.017841,0.210023,0.171740,0.129852,1620812257243065952
100,0.020648,0.216589,0.178373,0.136310,1620812257270783552
