frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.242495,-0.035070,0.008203,0.005236,0,-2.001104,-0.047141,-0.000487,0.012599,0.000104,0.000000,0.000000,1.820000,-0.050000,1621682245265680028
2,-0.243877,-0.034093,0.008552,-0.018500,0,-2.011926,-0.047410,-0.000474,0.013135,-0.000366,0.000000,0.000000,1.860000,-0.050000,1621682245282865366
3,-0.243527,-0.033768,0.008727,-0.015359,0,-1.988843,-0.047342,-0.000469,0.013403,-0.000304,0.000000,0.000000,1.860000,-0.050000,1621682245302499370
4,-0.241457,-0.033409,0.008552,0.011519,0,-1.950366,-0.046939,-0.000464,0.013135,0.000228,0.000000,0.000000,1.940000,-0.050000,1621682245323764304
5,-0.244240,-0.044842,0.007854,0.033161,0,-2.027353,-0.047480,-0.000623,0.012063,0.000657,0.000000,0.000000,1.930000,-0.060000,1621682245351195160
6,-0.242489,-0.045891,0.007505,0.012915,0,-2.062372,-0.047140,-0.000638,0.011527,0.000256,0.000000,0.000000,1.880000,-0.060000,1621682245366293467
7,-0.241782,-0.046952,0.007330,0.017802,0,-2.065156,-0.047002,-0.000653,0.011259,0.000352,0.000000,0.000000,1.780000,-0.060000,1621682245406909778
8,-0.244265,-0.050523,0.005236,0.023213,0,-2.273828,-0.047485,-0.000702,0.008042,0.000460,0.000000,0.000000,1.810000,-0.060000,1621682245416973119
9,-0.252187,-0.050523,0.005236,0.023213,0,-2.362065,-0.049025,-0.000702,0.008042,0.000460,0.000000,0.000000,1.810000,-0.060000,1621682245424194573
10,-0.241385,-0.041301,0.004887,0.010821,0,-2.279183,-0.046925,-0.000574,0.007506,0.000214,0.000000,0.000000,1.780000,-0.050000,1621682245442628724
11,-0.243567,-0.039690,0.005760,-0.002793,0,-2.240856,-0.047349,-0.000552,0.008846,-0.000055,0.000000,0.000000,1.790000,-0.050000,1621682245462327881
12,-0.242487,-0.047544,0.006807,0.019373,0,-2.117783,-0.047140,-0.000661,0.010455,0.000384,0.000000,0.000000,1.830000,-0.060000,1621682245495047370
13,-0.241442,-0.047544,0.006807,0.019373,0,-2.106144,-0.046936,-0.000661,0.010455,0.000384,0.000000,0.000000,1.830000,-0.060000,1621682245505878815
14,-0.243897,-0.050156,0.005236,0.029671,0,-2.262108,-0.047413,-0.000697,0.008042,0.000587,0.000000,0.000000,1.880000,-0.060000,1621682245523340988
15,-0.242843,-0.051057,0.004887,0.020944,0,-2.291708,-0.047209,-0.000710,0.007506,0.000415,0.000000,0.000000,1.830000,-0.060000,1621682245549579959
16,-0.251113,-0.050764,0.004887,0.001222,0,-2.405962,-0.048816,-0.000706,0.007506,0.000024,0.000000,0.000000,1.890000,-0.060000,1621682245562844263
17,-0.250409,-0.050889,0.005061,-0.013265,0,-2.399299,-0.048680,-0.000707,0.007774,-0.000263,0.000000,0.000000,1.800000,-0.060000,1621682245586187747
18,-0.243527,-0.041741,0.004887,0.010123,0,-2.304183,-0.047342,-0.000580,0.007506,0.000200,0.000000,0.032169,1.690000,-0.050000,1621682245602660373
19,-0.242158,-0.040523,0.005236,0.031940,0,-2.232498,-0.047076,-0.000563,0.008042,0.000632,0.000000,0.032169,1.810000,-0.050000,1621682245622692589
20,-0.241478,-0.050052,0.005236,0.023736,0,-2.241820,-0.046943,-0.000696,0.008042,0.000470,0.000000,0.032169,1.900000,-0.060000,1621682245642615972
21,-0.252513,-0.052855,0.004014,-0.002443,0,-2.504171,-0.049088,-0.000735,0.006165,-0.000048,0.000000,0.032169,1.780000,-0.060000,1621682245677454909
22,-0.251821,-0.052855,0.004014,-0.002443,0,-2.496468,-0.048954,-0.000735,0.006165,-0.000048,0.000000,0.032169,1.780000,-0.060000,1621682245684698699
23,-0.250402,-0.044534,0.003142,0.031416,0,-2.512417,-0.048678,-0.000619,0.004825,0.000622,0.000000,0.032169,1.740000,-0.050000,1621682245702541740
24,-0.253263,-0.046314,0.002094,0.030892,0,-2.638445,-0.049234,-0.000644,0.003217,0.000612,0.000000,0.032169,1.760000,-0.050000,1621682245724308471
25,-0.251458,-0.057850,0.001222,-0.002618,0,-2.742349,-0.048884,-0.000804,0.001876,-0.000052,0.000000,0.032169,1.760000,-0.060000,1621682245746558951
26,-0.251086,-0.058136,0.001047,0.006109,0,-2.743887,-0.048811,-0.000808,0.001608,0.000121,0.000000,0.032169,1.780000,-0.060000,1621682245765274033
27,-0.261922,-0.051553,-0.000873,0.004189,0,-3.030463,-0.050918,-0.000717,-0.001340,0.000083,0.000000,0.032169,1.780000,-0.050000,1621682245781309567
28,-0.261559,-0.052272,-0.001222,0.016581,0,-3.043659,-0.050847,-0.000727,-0.001876,0.000328,0.000000,0.032169,1.860000,-0.050000,1621682245801958430
29,-0.268660,-0.052667,-0.001396,-0.007854,0,-3.166140,-0.052227,-0.000732,-0.002145,-0.000156,0.000000,0.032169,1.910000,-0.050000,1621682245827531986
30,-0.267915,-0.062395,-0.001222,-0.007156,0,-3.149445,-0.052083,-0.000867,-0.001876,-0.000142,0.000000,0.032169,1.960000,-0.060000,1621682245850636171
31,-0.270151,-0.064021,-0.002094,-0.032463,0,-3.281145,-0.052517,-0.000890,-0.003217,-0.000643,0.000000,0.032169,1.920000,-0.060000,1621682245861284254
32,-0.269432,-0.062224,-0.001222,-0.016930,0,-3.177289,-0.052378,-0.000865,-0.001876,-0.000335,0.000000,0.032169,1.820000,-0.060000,1621682245880962835
33,-0.268082,-0.060000,-0.000000,-0.017628,0,-3.053765,-0.052115,-0.000834,-0.000000,-0.000349,0.000000,0.032169,1.760000,-0.060000,1621682245901950230
34,-0.270764,-0.059386,0.000349,-0.041190,0,-3.079155,-0.052637,-0.000825,0.000536,-0.000816,0.000000,0.032169,1.760000,-0.060000,1621682245923191803
35,-0.269460,-0.057298,0.001571,-0.049044,0,-2.964369,-0.052383,-0.000796,0.002413,-0.000971,0.000000,0.032169,1.720000,-0.060000,1621682245943112754
