frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
39,0.161027,0.012400,0.047647,-0.025133,0,3.839679,0.022657,0.000024,0.044446,-0.000111,0.000000,0.000000,0.680000,-0.020000,1621677223216344247
40,0.161014,0.011425,0.048346,-0.025656,0,3.876647,0.022655,0.000022,0.045097,-0.000113,0.000000,0.000000,0.650000,-0.020000,1621677223235378279
41,0.153119,0.013587,0.049393,-0.026529,0,3.868982,0.021544,0.000026,0.046074,-0.000117,0.000000,0.000000,0.680000,-0.020000,1621677223255654282
42,0.153668,0.010130,0.049393,-0.032289,0,3.871584,0.021621,0.000019,0.046074,-0.000142,0.000000,0.000000,0.610000,-0.020000,1621677223276077657
43,0.154218,0.011611,0.049393,-0.028449,0,3.877144,0.021698,0.000022,0.046074,-0.000125,0.000000,0.000000,0.640000,-0.020000,1621677223300480085
44,0.154806,0.009760,0.050440,-0.035430,0,3.935892,0.021781,0.000019,0.047050,-0.000156,0.000000,0.000000,0.590000,-0.020000,1621677223315672102
45,0.155417,0.008318,0.051487,-0.027053,0,3.998744,0.021867,0.000016,0.048027,-0.000119,0.000000,0.000000,0.550000,-0.020000,1621677223335249768
46,0.150087,0.010142,0.054803,-0.028623,0,4.132807,0.021117,0.000019,0.051121,-0.000126,0.000000,0.000000,0.550000,-0.020000,1621677223361578293
47,0.150733,0.006965,0.053931,-0.020246,0,4.093141,0.021208,0.000013,0.050307,-0.000089,0.000000,0.000000,0.500000,-0.020000,1621677223375628060
48,0.151381,0.009845,0.052360,-0.030892,0,4.012041,0.021299,0.000019,0.048841,-0.000136,0.000000,0.000000,0.570000,-0.020000,1621677223395793428
49,0.151996,0.008850,0.050615,-0.024609,0,3.925200,0.021386,0.000017,0.047213,-0.000108,0.000000,0.000000,0.570000,-0.020000,1621677223415842529
50,0.153121,0.000055,0.050091,-0.035081,0,3.902684,0.021544,0.000000,0.046725,-0.000154,0.000000,0.000000,0.600000,-0.030000,1621677223436325303
51,0.153671,0.000732,0.049567,-0.012217,0,3.884970,0.021621,0.000001,0.046236,-0.000054,0.000000,0.000000,0.620000,-0.030000,1621677223458696761
52,0.154218,0.003093,0.049393,-0.031940,0,3.875337,0.021698,0.000006,0.046074,-0.000141,0.000000,0.000000,0.670000,-0.030000,1621677223474835488
53,0.154754,0.001388,0.049044,-0.013788,0,3.865398,0.021774,0.000003,0.045748,-0.000061,0.000000,0.000000,0.640000,-0.030000,1621677223495845445
54,0.150425,0.001908,0.048346,-0.027751,0,3.789719,0.021165,0.000004,0.045097,-0.000122,0.000000,0.050547,0.660000,-0.030000,1621677223519149533
55,0.150461,0.000971,0.047647,-0.019548,0,3.754665,0.021170,0.000002,0.044446,-0.000086,0.000000,0.050547,0.650000,-0.030000,1621677223535213501
56,0.151563,-0.002712,0.046251,-0.030020,0,3.685880,0.021325,-0.000005,0.043143,-0.000132,0.000000,0.050547,0.590000,-0.030000,1621677223556347181
57,0.151568,-0.003736,0.046077,-0.021642,0,3.678593,0.021326,-0.000007,0.042980,-0.000095,0.000000,0.050547,0.570000,-0.030000,1621677223576948525
58,0.152594,-0.002918,0.045902,-0.026005,0,3.676531,0.021470,-0.000006,0.042818,-0.000114,0.000000,0.050547,0.590000,-0.030000,1621677223594699688
59,0.152596,-0.006222,0.045728,-0.018151,0,3.668833,0.021470,-0.000012,0.042655,-0.000080,0.000000,0.050547,0.520000,-0.030000,1621677223615548927
60,0.153107,-0.002145,0.046426,-0.006632,0,3.713618,0.021542,-0.000004,0.043306,-0.000029,0.000000,0.050547,0.600000,-0.030000,1621677223636030932
61,0.145188,-0.000675,0.047298,-0.024958,0,3.691956,0.020428,-0.000001,0.044120,-0.000110,0.000000,0.050547,0.620000,-0.030000,1621677223654548725
62,0.145216,-0.003410,0.048346,-0.005585,0,3.752734,0.020432,-0.000006,0.045097,-0.000025,0.000000,0.050547,0.550000,-0.030000,1621677223675757964
63,0.145806,-0.004134,0.049742,-0.031590,0,3.825481,0.020515,-0.000008,0.046399,-0.000139,0.000000,0.050547,0.520000,-0.030000,1621677223696122359
64,0.146418,-0.000951,0.050964,-0.005760,0,3.902574,0.020601,-0.000002,0.047539,-0.000025,0.000000,0.050547,0.570000,-0.030000,1621677223715065279
65,0.141688,-0.000492,0.055676,-0.008727,0,4.115602,0.019936,-0.000001,0.051935,-0.000038,0.000000,0.039748,0.530000,-0.030000,1621677223738610380
66,0.141616,0.005027,0.057421,-0.004887,0,4.209867,0.019925,0.000010,0.053563,-0.000022,0.000000,0.039748,0.610000,-0.030000,1621677223762417906
67,0.134533,0.008485,0.061087,-0.008203,0,4.348192,0.018929,0.000016,0.056981,-0.000036,0.000000,0.039748,0.630000,-0.030000,1621677223774525096
68,0.134524,0.005416,0.062134,-0.003840,0,4.404856,0.018928,0.000010,0.057958,-0.000017,0.000000,0.039748,0.570000,-0.030000,1621677223796068318
69,0.135947,0.011013,0.065101,-0.005760,0,4.575028,0.019128,0.000021,0.060726,-0.000025,0.000000,0.039748,0.630000,-0.030000,1621677223815076780
70,0.135959,0.012223,0.065973,-0.025307,0,4.616966,0.019129,0.000023,0.061540,-0.000111,0.000000,0.039748,0.640000,-0.030000,1621677223835908929
71,0.137513,0.016523,0.068417,-0.008378,0,4.764823,0.019348,0.000031,0.063819,-0.000037,0.000000,0.039748,0.680000,-0.030000,1621677223867705987
72,0.129480,0.020457,0.072082,-0.008378,0,4.896386,0.018218,0.000039,0.067238,-0.000037,0.000000,0.039748,0.700000,-0.030000,1621677223884190825
73,0.129545,0.022904,0.073478,-0.016755,0,4.969686,0.018227,0.000044,0.068541,-0.000074,0.000000,0.039748,0.720000,-0.030000,1621677223898424002
