frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.071764,0.073272,0.037001,-0.008378,0,2.701107,-0.009882,0.000931,0.056256,-0.000162,0.000000,0.000000,1.710000,0.010000,1621683168663323072
2,-0.071881,0.073041,0.036652,-0.008029,0,2.669996,-0.009898,0.000928,0.055726,-0.000155,0.000000,0.000000,1.720000,0.010000,1621683168681032032
3,-0.072406,0.068964,0.035954,-0.004887,0,2.605544,-0.009970,0.000876,0.054664,-0.000094,0.000000,0.000000,1.640000,0.010000,1621683168701112064
4,-0.071486,0.086366,0.039270,0.001571,0,2.921487,-0.009844,0.001097,0.059706,0.000030,0.000000,0.000000,1.690000,0.020000,1621683168719927584
5,-0.071966,0.083628,0.037874,0.013788,0,2.807580,-0.009910,0.001062,0.057583,0.000266,0.000000,0.000000,1.680000,0.020000,1621683168740648192
6,-0.072116,0.073869,0.037350,0.004538,0,2.743455,-0.009930,0.000938,0.056787,0.000088,0.000000,0.000000,1.710000,0.010000,1621683168760399680
7,0.018152,0.083609,0.042062,0.008378,0,3.877476,0.002499,0.001062,0.063952,0.000162,0.000000,0.000000,1.750000,0.010000,1621683168781878848
8,0.017971,0.080352,0.040666,0.017279,0,3.761893,0.002475,0.001020,0.061829,0.000333,0.000000,0.000000,1.730000,0.010000,1621683168799310784
9,0.017816,0.079848,0.040143,0.015882,0,3.713144,0.002453,0.001014,0.061033,0.000307,0.000000,0.000000,1.740000,0.010000,1621683168819771296
10,0.018041,0.081670,0.041190,0.026529,0,3.819245,0.002484,0.001037,0.062625,0.000512,0.000000,0.000000,1.740000,0.010000,1621683168841059584
11,0.018041,0.081670,0.041190,0.026529,0,3.819245,0.002484,0.001037,0.062625,0.000512,0.000000,0.000000,1.740000,0.010000,1621683168860255072
12,0.017975,0.073052,0.038921,0.017977,0,3.605344,0.002475,0.000928,0.059175,0.000347,0.000000,0.000000,1.620000,0.010000,1621683168881190240
13,0.017975,0.073052,0.038921,0.017977,0,3.605344,0.002475,0.000928,0.059175,0.000347,0.000000,0.000000,1.620000,0.010000,1621683168897618976
14,0.008955,0.074214,0.038223,0.008203,0,3.463397,0.001233,0.000943,0.058114,0.000158,0.000000,0.000000,1.680000,0.010000,1621683168919832256
15,0.000076,0.072748,0.037350,0.015359,0,3.324173,0.000010,0.000924,0.056787,0.000296,0.000000,0.000000,1.680000,0.010000,1621683168940489248
16,0.000132,0.073774,0.036652,-0.000698,0,3.246793,0.000018,0.000937,0.055726,-0.000013,0.000000,0.000000,1.740000,0.010000,1621683168960685184
17,-0.000041,0.070884,0.035605,0.021118,0,3.176226,-0.000006,0.000900,0.054133,0.000408,0.000000,0.000000,1.710000,0.010000,1621683168979855840
18,0.000000,0.071345,0.035256,0.010647,0,3.134896,0.000000,0.000906,0.053603,0.000205,0.000000,0.000000,1.740000,0.010000,1621683168996943168
19,-0.000214,0.069931,0.033859,0.013439,0,3.013637,-0.000029,0.000888,0.051480,0.000259,0.000000,0.000000,1.770000,0.010000,1621683169022703840
20,-0.000171,0.069931,0.033859,0.003491,0,3.002973,-0.000024,0.000888,0.051480,0.000067,0.000000,0.000000,1.770000,0.010000,1621683169039878080
21,0.000041,0.069559,0.034034,0.007679,0,3.024209,0.000006,0.000883,0.051745,0.000148,0.000000,0.000000,1.750000,0.010000,1621683169064303168
