frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
40,-0.124498,0.047980,0.017802,0.018500,0,0.336122,-0.017355,0.000307,0.022702,0.000213,0.000000,0.000000,1.010000,0.030000,1621685594415547968
41,-0.124862,0.045914,0.016406,0.020769,0,0.231934,-0.017406,0.000294,0.020921,0.000239,0.000000,0.000000,0.970000,0.030000,1621685594434620635
42,-0.134494,0.042441,0.012566,0.021817,0,-0.126128,-0.018748,0.000272,0.016025,0.000251,0.000000,0.000000,0.990000,0.030000,1621685594454823752
43,-0.135227,0.040666,0.010996,0.019897,0,-0.248668,-0.018851,0.000260,0.014022,0.000229,0.000000,0.000000,0.970000,0.030000,1621685594474707297
44,-0.126481,0.039346,0.010996,0.020944,0,-0.178603,-0.017631,0.000252,0.014022,0.000241,0.000000,0.000000,0.850000,0.030000,1621685594497438504
45,-0.126936,0.039156,0.010647,0.025307,0,-0.204940,-0.017695,0.000251,0.013576,0.000291,0.000000,0.000000,0.860000,0.030000,1621685594514086789
46,-0.124846,0.044341,0.014486,0.008901,0,0.083388,-0.017404,0.000284,0.018473,0.000102,0.000000,0.000000,0.990000,0.030000,1621685594533719049
47,-0.125550,0.044064,0.013788,0.011170,0,0.028157,-0.017502,0.000282,0.017583,0.000128,0.000000,0.000000,1.020000,0.030000,1621685594555452728
48,-0.125774,0.044917,0.013439,0.004712,0,-0.003080,-0.017533,0.000287,0.017137,0.000054,0.000000,0.000000,1.110000,0.030000,1621685594574922019
49,-0.126395,0.044294,0.012217,0.010123,0,-0.093966,-0.017619,0.000283,0.015580,0.000116,0.000000,0.000000,1.170000,0.030000,1621685594594581862
50,-0.126586,0.033411,0.011868,0.010123,0,-0.124987,-0.017646,0.000214,0.015134,0.000116,0.000000,0.000000,1.130000,0.020000,1621685594614065328
51,-0.125190,0.035280,0.014835,0.006981,0,0.101559,-0.017452,0.000226,0.018918,0.000080,0.000000,0.000000,1.030000,0.020000,1621685594634344090
52,-0.125395,0.035355,0.014486,-0.000524,0,0.069502,-0.017480,0.000226,0.018473,-0.000006,0.000000,0.000000,1.060000,0.020000,1621685594654956022
53,-0.125779,0.034094,0.014835,-0.000524,0,0.091477,-0.017534,0.000218,0.018918,-0.000006,0.000000,0.000000,0.950000,0.020000,1621685594673655488
54,-0.125980,0.035820,0.015359,-0.005934,0,0.125197,-0.017562,0.000229,0.019586,-0.000068,0.000000,0.000000,1.030000,0.020000,1621685594694157985
