frame,e_y,e_y_dot,e_phi,e_phi_dot,index,u1/deg,u1_0,u1_1,u1_2,u1_3,u2,curvature,v_x,v_y,timestamp
1,-0.116867,0.010926,0.038048,0.004014,0,0.802823,-0.025980,0.000028,0.039943,0.000020,0.000000,0.000000,0.550000,-0.010000,1621680527408508507
2,-0.125810,0.013635,0.038746,-0.007679,0,0.727964,-0.027968,0.000035,0.040676,-0.000038,0.000000,0.000000,0.610000,-0.010000,1621680527426388446
3,-0.116813,0.011991,0.039270,0.006109,0,0.877759,-0.025967,0.000031,0.041226,0.000031,0.000000,0.000000,0.560000,-0.010000,1621680527444059870
4,-0.125796,0.013272,0.039444,0.000698,0,0.772475,-0.027965,0.000035,0.041409,0.000003,0.000000,0.000000,0.590000,-0.010000,1621680527464285151
5,-0.116815,0.014850,0.039444,0.006109,0,0.888658,-0.025968,0.000039,0.041409,0.000031,0.000000,0.000000,0.630000,-0.010000,1621680527482215459
6,-0.116817,0.017611,0.039444,0.002967,0,0.888145,-0.025968,0.000046,0.041409,0.000015,0.000000,0.000000,0.700000,-0.010000,1621680527503589234
7,-0.125822,0.027060,0.039794,0.002967,0,0.795853,-0.027970,0.000070,0.041775,0.000015,0.000000,0.000000,0.680000,0.000000,1621680527523919124
8,-0.116852,0.025691,0.040143,0.006109,0,0.931796,-0.025976,0.000067,0.042142,0.000031,0.000000,0.000000,0.640000,0.000000,1621680527542526305
9,-0.125728,0.023562,0.039270,0.000000,0,0.764177,-0.027949,0.000061,0.041226,0.000000,0.000000,0.000000,0.600000,0.000000,1621680527561094413
10,-0.125728,0.022777,0.039270,-0.005411,0,0.762510,-0.027949,0.000059,0.041226,-0.000027,0.000000,0.000000,0.580000,0.000000,1621680527581424399
11,-0.125728,0.022777,0.039270,-0.005411,0,0.762510,-0.027949,0.000059,0.041226,-0.000027,0.000000,0.000000,0.580000,0.000000,1621680527609798231
12,-0.125740,0.023384,0.040317,-0.002269,0,0.826344,-0.027952,0.000061,0.042325,-0.000011,0.000000,0.000000,0.580000,0.000000,1621680527622783580
13,-0.116777,0.022871,0.040841,-0.009774,0,0.969765,-0.025960,0.000059,0.042875,-0.000049,0.000000,0.000000,0.560000,0.000000,1621680527641819726
14,-0.125798,0.025126,0.041190,0.001920,0,0.879555,-0.027965,0.000065,0.043241,0.000010,0.000000,0.000000,0.610000,0.000000,1621680527661707563
15,-0.125836,0.023478,0.041190,-0.009774,0,0.875465,-0.027973,0.000061,0.043241,-0.000049,0.000000,0.000000,0.570000,0.000000,1621680527681787274
16,-0.116851,0.021419,0.041190,0.006109,0,0.994156,-0.025976,0.000056,0.043241,0.000031,0.000000,0.000000,0.520000,0.000000,1621680527703638719
17,-0.125908,0.022148,0.041015,-0.009774,0,0.863852,-0.027989,0.000058,0.043058,-0.000049,0.000000,0.000000,0.540000,0.000000,1621680527721781990
18,-0.116987,0.023279,0.040841,0.005061,0,0.971403,-0.026006,0.000061,0.042875,0.000025,0.000000,0.000000,0.570000,0.000000,1621680527742594382
