frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
1,36.000000,0.177729,120.000000,0.487605,178.340000,-0.580000,4.000000,0.640000,-3.930000,1.746000,-5.371000,-1.900000,-3.220000,0.010000,0.570000,-0.180000,1620812670616626336
2,36.000000,0.177729,120.000000,0.487605,178.330000,-0.150000,4.000000,0.640000,-3.213000,4.898000,-7.791000,-1.890000,-3.190000,0.010000,0.590000,-0.210000,1620812670636418944
3,36.000000,0.177729,120.000000,0.487605,178.330000,-0.210000,4.000000,0.580000,5.887000,0.279000,-9.453000,-1.920000,-3.230000,0.010000,0.650000,-0.230000,1620812670656377568
4,36.000000,0.177729,120.000000,0.487605,178.310000,0.280000,4.000000,0.580000,-1.751000,7.769000,-5.641000,-1.910000,-3.160000,0.010000,0.630000,-0.250000,1620812670678452032
5,36.000000,0.177729,120.000000,0.487605,178.280000,0.040000,4.000000,0.580000,-5.696000,-3.945000,-17.596000,-1.950000,-3.270000,0.010000,0.660000,-0.310000,1620812670698583744
6,36.000000,0.177729,120.000000,0.487605,178.260000,0.460000,4.000000,0.580000,1.537000,0.449000,-6.701000,-1.970000,-3.240000,0.010000,0.670000,-0.330000,1620812670716863840
7,36.000000,0.177728,120.000000,0.487605,178.330000,0.590000,4.000000,0.580000,0.757000,-4.501000,-14.439000,-2.040000,-3.270000,0.010000,0.710000,-0.400000,1620812670736691584
8,36.000000,0.177728,120.000000,0.487605,178.350000,0.650000,4.000000,0.580000,6.133000,-4.229000,-8.457000,-2.050000,-3.250000,0.010000,0.760000,-0.420000,1620812670756780704
9,36.000000,0.177728,120.000000,0.487605,178.430000,0.530000,4.000000,0.590000,4.094000,-5.603000,-9.819000,-2.010000,-3.150000,0.010000,0.710000,-0.390000,1620812670781160928
10,36.000000,0.177728,120.000000,0.487605,178.490000,1.080000,4.000000,0.590000,0.675000,-2.979000,-15.124000,-1.990000,-3.200000,0.010000,0.690000,-0.400000,1620812670797066720
11,36.000000,0.177728,120.000000,0.487605,178.560000,0.710000,4.000000,0.640000,-1.096000,-0.785000,-6.688000,-1.950000,-3.100000,0.010000,0.660000,-0.420000,1620812670817392320
12,36.000000,0.177728,120.000000,0.487605,178.630000,0.960000,4.000000,0.640000,-6.681000,-2.392000,-18.299000,-1.930000,-3.180000,0.010000,0.610000,-0.370000,1620812670837136800
13,36.000000,0.177728,120.000000,0.487605,178.690000,0.590000,4.000000,0.580000,-6.394000,4.987000,-10.656000,-1.880000,-3.220000,0.010000,0.610000,-0.340000,1620812670857028416
14,36.000000,0.177728,120.000000,0.487605,178.730000,0.590000,4.000000,0.580000,-1.957000,-4.220000,-16.934000,-1.870000,-3.290000,0.010000,0.590000,-0.290000,1620812670877072736
15,36.000000,0.177727,120.000000,0.487605,178.770000,0.590000,4.000000,0.580000,-4.589000,4.664000,-5.823000,-1.830000,-3.240000,0.010000,0.510000,-0.280000,1620812670897030048
16,36.000000,0.177727,120.000000,0.487605,178.820000,0.710000,4.000000,0.600000,3.831000,-0.895000,-6.078000,-1.820000,-3.200000,0.010000,0.570000,-0.250000,1620812670917161408
17,36.000000,0.177727,120.000000,0.487605,178.850000,0.590000,4.000000,0.600000,-4.264000,-3.431000,-13.016000,-1.790000,-3.170000,0.010000,0.500000,-0.200000,1620812670936979936
18,36.000000,0.177727,120.000000,0.487605,178.930000,0.460000,4.000000,0.570000,-3.872000,2.630000,-16.519000,-1.800000,-3.210000,0.010000,0.500000,-0.140000,1620812670957091392
19,36.000000,0.177727,120.000000,0.487605,178.940000,0.030000,4.000000,0.570000,6.155000,-4.070000,-14.074000,-1.780000,-3.180000,0.010000,0.500000,-0.140000,1620812670977142560
20,36.000000,0.177727,120.000000,0.487605,178.950000,0.210000,4.000000,0.570000,6.278000,2.805000,-3.707000,-1.820000,-3.270000,0.010000,0.450000,-0.110000,1620812670997241696
21,36.000000,0.177727,120.000000,0.487605,178.940000,-0.090000,4.000000,0.610000,-7.479000,5.524000,-7.095000,-1.860000,-3.180000,0.010000,0.540000,-0.140000,1620812671020008000
22,36.000000,0.177727,120.000000,0.487605,178.920000,-0.220000,4.000000,0.610000,1.942000,-8.629000,-15.224000,-1.910000,-3.230000,0.010000,0.580000,-0.070000,1620812671037950816
23,36.000000,0.177727,120.000000,0.487605,178.910000,-0.460000,4.000000,0.610000,-7.618000,-2.077000,-13.946000,-1.930000,-3.170000,0.010000,0.580000,-0.090000,1620812671058009184
24,36.000000,0.177727,120.000000,0.487605,178.890000,-0.270000,4.000000,0.590000,5.565000,-10.015000,-17.304000,-1.970000,-3.200000,0.010000,0.620000,0.000000,1620812671078039904
25,36.000000,0.177727,120.000000,0.487605,178.880000,-0.210000,4.000000,0.590000,-3.575000,-5.752000,-19.894000,-1.990000,-3.240000,0.010000,0.600000,-0.010000,1620812671097909728
26,36.000000,0.177726,120.000000,0.487605,178.870000,0.340000,4.000000,0.600000,4.198000,-10.005000,-19.631000,-2.010000,-3.260000,0.010000,0.680000,-0.030000,1620812671117965856
27,36.000000,0.177726,120.000000,0.487605,178.870000,-0.390000,4.000000,0.600000,-1.633000,-13.444000,-19.837000,-2.030000,-3.250000,0.010000,0.620000,0.030000,1620812671138017760
28,36.000000,0.177726,120.000000,0.487605,178.880000,0.640000,4.000000,0.590000,3.161000,-14.838000,-19.681000,-2.050000,-3.210000,0.010000,0.640000,0.040000,1620812671157908000
29,36.000000,0.177726,120.000000,0.487605,178.870000,-0.450000,4.000000,0.590000,-2.709000,-19.709000,-19.920000,-2.070000,-3.270000,0.010000,0.600000,0.140000,1620812671177970144
30,36.000000,0.177726,120.000000,0.487605,178.830000,0.530000,4.000000,0.590000,2.431000,-9.377000,-19.698000,-2.020000,-3.540000,0.010000,0.590000,0.070000,1620812671198005728
31,36.000000,0.177726,120.000000,0.487605,178.820000,-0.080000,4.000000,0.600000,-6.571000,-3.957000,-13.889000,-2.000000,-3.570000,0.010000,0.550000,0.180000,1620812671218595648
32,36.000000,0.177726,120.000000,0.487605,178.870000,0.290000,4.000000,0.600000,-0.019000,-19.724000,-19.807000,-1.950000,-3.590000,0.010000,0.630000,0.100000,1620812671235943552
33,36.000000,0.177726,120.000000,0.487605,178.880000,0.660000,4.000000,0.600000,1.070000,16.890000,-0.459000,-1.930000,-3.490000,0.010000,0.630000,0.170000,1620812671258032800
34,36.000000,0.177725,120.000000,0.487605,178.950000,0.660000,4.000000,0.610000,-1.258000,-19.541000,-19.918000,-1.870000,-3.490000,0.010000,0.640000,0.310000,1620812671278283712
35,36.000000,0.177725,120.000000,0.487605,179.000000,1.450000,4.000000,0.610000,5.288000,18.560000,11.080000,-1.890000,-3.280000,0.010000,0.690000,0.320000,1620812671295876928
36,36.000000,0.177725,120.000000,0.487605,179.050000,1.080000,4.000000,0.650000,-2.426000,-5.804000,-13.941000,-1.940000,-3.120000,0.010000,0.570000,0.420000,1620812671318248704
37,36.000000,0.177725,120.000000,0.487605,179.120000,1.380000,4.000000,0.650000,7.828000,4.429000,-18.925000,-1.960000,-3.210000,0.010000,0.650000,0.440000,1620812671335803680
38,36.000000,0.177725,120.000000,0.487605,179.190000,1.800000,4.000000,0.740000,4.251000,-8.853000,-10.719000,-1.920000,-3.300000,0.010000,0.690000,0.540000,1620812671358181696
39,36.000000,0.177725,120.000000,0.487605,179.270000,1.060000,4.000000,0.740000,0.069000,-5.060000,-19.819000,-1.910000,-3.390000,0.010000,0.700000,0.560000,1620812671377911520
40,36.000000,0.177725,120.000000,0.487605,179.330000,2.200000,4.000000,0.740000,-4.227000,6.498000,7.623000,-1.890000,-3.290000,0.010000,0.710000,0.600000,1620812671397975360
41,36.000000,0.177725,120.000000,0.487605,179.400000,1.300000,4.000000,0.780000,-9.294000,-19.533000,-19.731000,-1.920000,-3.370000,0.010000,0.650000,0.670000,1620812671417846208
42,36.000000,0.177725,120.000000,0.487605,179.440000,1.960000,4.000000,0.780000,9.350000,-14.684000,-19.633000,-1.980000,-3.150000,0.010000,0.550000,0.710000,1620812671437864928
43,36.000000,0.177724,120.000000,0.487605,179.540000,1.840000,4.000000,0.830000,2.406000,6.986000,-19.593000,-2.000000,-3.430000,0.010000,0.730000,0.780000,1620812671457810464
44,36.000000,0.177724,120.000000,0.487605,179.580000,2.090000,4.000000,0.830000,0.384000,11.553000,-3.406000,-2.050000,-3.370000,0.010000,0.770000,0.780000,1620812671477808448
45,36.000000,0.177724,120.000000,0.487605,179.710000,2.150000,4.000000,0.830000,2.054000,0.500000,-4.304000,-2.090000,-3.330000,0.010000,0.810000,0.870000,1620812671497899552
46,36.000000,0.177724,120.000000,0.487605,179.760000,1.690000,4.000000,0.820000,-4.350000,-8.218000,-8.657000,-2.110000,-3.240000,0.010000,0.800000,0.900000,1620812671517887808
47,36.000000,0.177724,120.000000,0.487605,179.850000,2.120000,4.000000,0.820000,-4.244000,-1.187000,0.402000,-2.170000,-3.130000,0.000000,0.750000,1.000000,1620812671537929920
48,36.000000,0.177724,120.000000,0.487605,179.880000,1.690000,4.000000,0.820000,-1.909000,0.316000,-6.021000,-2.190000,-3.070000,0.000000,0.750000,1.020000,1620812671558021024
49,36.000000,0.177723,120.000000,0.487605,179.980000,1.760000,4.000000,0.810000,-1.551000,10.743000,-0.224000,-2.180000,-3.000000,0.010000,0.750000,1.090000,1620812671577880448
50,36.000000,0.177723,120.000000,0.487605,180.010000,1.990000,4.000000,0.810000,-2.196000,-6.342000,-7.768000,-2.200000,-2.950000,0.010000,0.700000,1.120000,1620812671597955200
51,36.000000,0.177723,120.000000,0.487605,180.130000,2.420000,4.000000,0.850000,2.480000,-2.468000,-10.310000,-2.260000,-2.930000,0.010000,0.730000,1.190000,1620812671617984320
52,36.000000,0.177723,120.000000,0.487605,180.190000,2.430000,4.000000,0.850000,-5.625000,-1.161000,-9.846000,-2.280000,-2.860000,0.010000,0.680000,1.200000,1620812671637799072
53,36.000000,0.177723,120.000000,0.487605,180.360000,2.660000,4.000000,0.780000,0.193000,-1.370000,-3.406000,-2.340000,-2.840000,0.010000,0.670000,1.280000,1620812671657810080
54,36.000000,0.177723,120.000000,0.487605,180.420000,2.670000,4.000000,0.780000,-3.353000,2.507000,-18.266000,-2.360000,-2.940000,0.000000,0.590000,1.320000,1620812671679130464
55,36.000000,0.177723,120.000000,0.487605,180.610000,2.740000,4.000000,0.780000,-10.425000,2.471000,-17.243000,-2.420000,-3.000000,0.000000,0.490000,1.400000,1620812671695974240
56,36.000000,0.177722,120.000000,0.487605,180.680000,3.080000,4.000000,0.800000,10.123000,0.751000,-10.453000,-2.440000,-3.010000,0.000000,0.600000,1.420000,1620812671718110944
57,36.000000,0.177722,120.000000,0.487605,180.860000,3.210000,4.000000,0.800000,2.050000,-2.197000,-7.116000,-2.500000,-3.140000,0.000000,0.630000,1.510000,1620812671737964352
58,36.000000,0.177722,120.000000,0.487605,180.920000,3.040000,4.000000,0.800000,3.241000,-2.434000,-15.686000,-2.510000,-3.190000,0.000000,0.690000,1.540000,1620812671757940608
59,36.000000,0.177722,120.000000,0.487605,181.090000,3.640000,4.000000,0.820000,3.705000,-3.755000,-8.663000,-2.570000,-3.110000,0.000000,0.700000,1.610000,1620812671777873088
60,36.000000,0.177722,120.000000,0.487605,181.210000,3.390000,4.000000,0.820000,0.680000,0.481000,-14.377000,-2.590000,-3.160000,0.000000,0.730000,1.640000,1620812671797831808
61,36.000000,0.177722,120.000000,0.487605,181.340000,3.580000,4.000000,0.830000,0.903000,2.942000,-9.123000,-2.650000,-3.050000,0.010000,0.770000,1.710000,1620812671817996352
62,36.000000,0.177722,120.000000,0.487605,181.490000,3.580000,4.000000,0.830000,4.933000,5.230000,-10.080000,-2.670000,-3.060000,0.010000,0.820000,1.730000,1620812671837814112
63,36.000000,0.177721,120.000000,0.487605,181.650000,3.590000,4.000000,0.820000,1.003000,2.399000,-12.790000,-2.720000,-3.090000,0.010000,0.840000,1.810000,1620812671857847136
64,36.000000,0.177721,120.000000,0.487605,181.780000,3.400000,4.000000,0.820000,9.711000,4.577000,-19.180000,-2.740000,-3.190000,0.010000,0.910000,1.840000,1620812671877865920
65,36.000000,0.177721,120.000000,0.487605,181.920000,3.880000,4.000000,0.820000,2.590000,-7.998000,-9.339000,-2.800000,-3.170000,0.010000,0.900000,1.920000,1620812671897854464
66,36.000000,0.177721,120.000000,0.487605,182.070000,3.880000,4.000000,0.890000,0.275000,3.292000,-5.413000,-2.820000,-3.130000,0.010000,0.890000,1.940000,1620812671918123712
67,36.000000,0.177721,120.000000,0.487604,182.220000,3.990000,4.000000,0.890000,1.754000,4.194000,-7.137000,-2.840000,-3.120000,0.010000,0.910000,2.000000,1620812671938775328
68,36.000000,0.177721,120.000000,0.487604,182.370000,4.040000,4.000000,0.900000,3.258000,0.954000,-12.248000,-2.830000,-3.150000,0.010000,0.920000,2.030000,1620812671955803296
69,36.000000,0.177720,120.000000,0.487604,182.450000,4.170000,4.000000,0.900000,-2.685000,6.913000,-6.050000,-2.800000,-3.130000,0.010000,0.930000,2.010000,1620812671978177440
70,36.000000,0.177720,120.000000,0.487604,182.690000,4.350000,4.000000,0.900000,5.039000,8.802000,-11.477000,-2.760000,-3.220000,0.010000,0.940000,1.990000,1620812671997819616
71,36.000000,0.177720,120.000000,0.487604,182.850000,4.650000,4.000000,0.930000,-0.309000,-2.566000,-5.376000,-2.740000,-3.180000,0.010000,0.940000,1.980000,1620812672018872736
72,36.000000,0.177720,120.000000,0.487604,183.020000,4.770000,4.000000,0.930000,3.203000,7.961000,-8.056000,-2.710000,-3.280000,0.010000,0.900000,1.980000,1620812672035931648
73,36.000000,0.177720,120.000000,0.487604,183.100000,5.260000,4.000000,0.930000,1.048000,5.369000,-7.536000,-2.700000,-3.240000,0.010000,0.930000,1.990000,1620812672057844192
74,36.000000,0.177720,120.000000,0.487604,183.360000,5.870000,4.000000,0.970000,8.871000,6.307000,-11.075000,-2.670000,-3.300000,0.010000,1.040000,2.010000,1620812672078007392
75,36.000000,0.177719,120.000000,0.487604,183.450000,5.820000,4.000000,0.970000,-4.639000,-9.397000,-13.629000,-2.650000,-3.370000,0.010000,0.960000,1.980000,1620812672098113696
76,36.000000,0.177719,120.000000,0.487604,183.740000,6.250000,4.000000,1.020000,-2.920000,-4.630000,-15.912000,-2.620000,-3.310000,0.020000,0.870000,2.000000,1620812672118035072
77,36.000000,0.177719,120.000000,0.487604,183.850000,6.550000,4.000000,1.020000,10.616000,10.473000,-15.578000,-2.600000,-3.370000,0.020000,1.060000,2.020000,1620812672135838336
