frame,pgsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle,timestamp
1,36.000000,0.177732,120.000000,0.487753,180.540000,0.070000,4.000000,0.000000,3.879000,5.265000,-13.796000,-1.070000,-2.810000,0.000000,0.000000,2.470000,1621678972161468562
2,36.000000,0.177732,120.000000,0.487753,180.540000,-0.400000,4.000000,0.020000,-1.152000,-3.531000,-18.200000,-1.090000,-2.810000,0.000000,0.000000,2.460000,1621678972181470398
3,36.000000,0.177732,120.000000,0.487753,180.540000,0.090000,4.000000,0.020000,-1.767000,-9.823000,-15.395000,-1.050000,-3.040000,0.000000,0.000000,2.430000,1621678972204658927
4,36.000000,0.177732,120.000000,0.487753,180.540000,-0.220000,4.000000,0.020000,-3.304000,4.361000,-1.440000,-1.100000,-3.100000,0.000000,0.000000,2.390000,1621678972220535561
5,36.000000,0.177732,120.000000,0.487753,180.540000,0.260000,4.000000,0.020000,4.741000,5.501000,-3.678000,-1.090000,-2.970000,0.000000,0.000000,2.370000,1621678972240790352
6,36.000000,0.177732,120.000000,0.487753,180.540000,-0.030000,4.000000,0.020000,-0.729000,6.200000,-3.885000,-1.100000,-3.020000,0.000000,0.000000,2.330000,1621678972260807708
7,36.000000,0.177732,120.000000,0.487753,180.540000,0.260000,4.000000,0.020000,1.678000,2.486000,-2.803000,-1.090000,-2.960000,0.000000,0.000000,2.310000,1621678972280847336
8,36.000000,0.177732,120.000000,0.487753,180.540000,-0.150000,4.000000,0.020000,3.232000,-5.958000,-19.698000,-1.070000,-3.060000,0.000000,0.000000,2.260000,1621678972300687800
9,36.000000,0.177732,120.000000,0.487753,180.540000,0.310000,4.000000,0.020000,2.049000,0.630000,-9.445000,-1.050000,-3.060000,0.000000,0.000000,2.250000,1621678972321040606
10,36.000000,0.177732,120.000000,0.487753,180.540000,0.310000,4.000000,0.020000,-3.743000,6.108000,1.017000,-1.090000,-2.860000,0.000000,0.000000,2.130000,1621678972340708048
11,36.000000,0.177732,120.000000,0.487753,180.540000,0.430000,4.000000,0.020000,-3.474000,5.862000,3.471000,-1.040000,-2.870000,0.000000,0.000000,2.030000,1621678972360686141
12,36.000000,0.177732,120.000000,0.487753,180.540000,-0.460000,4.000000,0.020000,3.315000,6.282000,-5.233000,-1.020000,-2.840000,0.000000,0.000000,2.060000,1621678972380716521
13,36.000000,0.177732,120.000000,0.487753,180.540000,-0.110000,4.000000,0.080000,-0.537000,7.872000,6.081000,-1.000000,-2.860000,0.000000,0.030000,2.000000,1621678972400735829
14,36.000000,0.177732,120.000000,0.487753,180.540000,-0.090000,4.000000,0.080000,0.235000,3.661000,-4.545000,-0.980000,-2.820000,0.000000,0.050000,1.980000,1621678972420652707
15,36.000000,0.177732,120.000000,0.487753,180.540000,-0.090000,4.000000,0.000000,-1.263000,2.583000,-14.082000,-0.980000,-2.920000,0.000000,0.000000,1.890000,1621678972440704239
16,36.000000,0.177732,120.000000,0.487753,180.540000,-0.160000,4.000000,0.000000,-5.474000,0.416000,-4.706000,-1.030000,-2.860000,0.000000,0.000000,1.800000,1621678972460700411
17,36.000000,0.177732,120.000000,0.487753,180.540000,0.370000,4.000000,0.000000,-1.407000,-9.296000,2.667000,-1.050000,-2.860000,0.000000,0.000000,1.750000,1621678972480867269
18,36.000000,0.177732,120.000000,0.487753,180.540000,-0.030000,4.000000,0.020000,-8.641000,-0.291000,1.500000,-1.100000,-2.670000,0.000000,0.000000,1.660000,1621678972500651285
19,36.000000,0.177732,120.000000,0.487753,180.540000,0.070000,4.000000,0.020000,8.861000,12.173000,-0.507000,-1.120000,-2.600000,0.000000,0.000000,1.620000,1621678972521993001
20,36.000000,0.177732,120.000000,0.487753,180.540000,0.070000,4.000000,0.020000,4.796000,1.069000,-15.770000,-1.160000,-2.750000,0.000000,0.000000,1.520000,1621678972538643571
21,36.000000,0.177732,120.000000,0.487753,180.540000,0.130000,4.000000,0.020000,3.316000,3.430000,-10.555000,-1.210000,-2.770000,0.000000,0.000000,1.480000,1621678972560712026
22,36.000000,0.177732,120.000000,0.487753,180.540000,-0.290000,4.000000,0.020000,-4.638000,-4.867000,-18.526000,-1.230000,-2.790000,0.000000,0.000000,1.480000,1621678972580798788
23,36.000000,0.177732,120.000000,0.487753,180.540000,0.250000,4.000000,0.020000,2.689000,4.367000,-5.527000,-1.280000,-2.850000,0.000000,0.000000,1.380000,1621678972600719282
24,36.000000,0.177732,120.000000,0.487753,180.540000,-0.220000,4.000000,0.020000,1.047000,7.011000,-4.476000,-1.300000,-2.780000,0.000000,0.000000,1.340000,1621678972621372947
25,36.000000,0.177732,120.000000,0.487753,180.540000,0.190000,4.000000,0.050000,1.094000,5.903000,-1.579000,-1.280000,-2.850000,0.000000,0.040000,1.240000,1621678972640766698
26,36.000000,0.177732,120.000000,0.487753,180.540000,-0.030000,4.000000,0.050000,4.487000,9.889000,-9.437000,-1.240000,-2.860000,0.000000,0.070000,1.240000,1621678972660682809
27,36.000000,0.177732,120.000000,0.487753,180.540000,-0.170000,4.000000,0.010000,0.190000,-3.615000,-18.078000,-1.210000,-3.020000,0.000000,0.000000,1.210000,1621678972680603014
28,36.000000,0.177732,120.000000,0.487753,180.540000,-0.090000,4.000000,0.010000,5.545000,11.862000,-8.883000,-1.170000,-3.020000,0.000000,0.000000,1.150000,1621678972700748240
29,36.000000,0.177732,120.000000,0.487753,180.540000,-0.110000,4.000000,0.010000,0.693000,-7.817000,-15.426000,-1.140000,-3.200000,0.000000,0.000000,1.180000,1621678972720698366
30,36.000000,0.177732,120.000000,0.487753,180.540000,-0.110000,4.000000,0.010000,0.693000,-7.817000,-15.426000,-1.140000,-3.200000,0.000000,0.000000,1.180000,1621678972741138466
31,36.000000,0.177732,120.000000,0.487753,180.540000,0.560000,4.000000,0.020000,-2.795000,5.813000,6.674000,-1.080000,-3.060000,0.000000,0.000000,1.120000,1621678972760603480
32,36.000000,0.177732,120.000000,0.487753,180.540000,-0.160000,4.000000,0.020000,1.021000,2.437000,-1.216000,-1.030000,-3.010000,0.000000,0.000000,1.090000,1621678972780592549
33,36.000000,0.177732,120.000000,0.487753,180.540000,0.440000,4.000000,0.020000,2.165000,8.506000,2.406000,-1.020000,-2.920000,0.000000,0.000000,1.040000,1621678972800640049
34,36.000000,0.177732,120.000000,0.487753,180.540000,0.210000,4.000000,0.020000,-2.727000,-3.909000,-3.171000,-0.960000,-2.900000,0.000000,0.000000,1.040000,1621678972820620862
